agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_email,agency_fare_url
IDFM:1069,Terres d'Envol,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1051,Poissy - Les Mureaux,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:885,Paris-Saclay Mobilités,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:184,Seine-Saint-Denis,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1078,Provinois - Brie et Seine,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:81,Sit'bus,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1050,Grand Melun,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:115,Valoise,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1079,Lignes Île-de-France Ouest,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:663,Chavilbus,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1075,Vallée du Loing - Nemours,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1062,Saint Germain Boucles de Seine,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
IDFM:1054,Argenteuil - Boucles de Seine,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://www.iledefrance-mobilites.fr/titres-et-tarifs
