route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C01371,IDFM:Operator_100,1,1,,1,,FFBE00,000000,
IDFM:C01286,IDFM:Operator_100,322,322,,3,,82C8E6,000000,
IDFM:C01153,IDFM:Operator_100,124,124,,3,,FF82B4,000000,
IDFM:C00173,IDFM:1081,18,18,,3,,DB006B,FFFFFF,
IDFM:C00391,IDFM:1058,4334,4334,,3,,E2001A,FFFFFF,
IDFM:C01902,IDFM:885,F,F,,3,,77623A,FFFFFF,
IDFM:C00040,IDFM:1061,6178,6178,,3,,FF1400,FFFFFF,
IDFM:C02485,IDFM:1061,TàD,TàD 6131,,3,,FFBE00,000000,
IDFM:C02570,IDFM:1051,13,13,,3,,9B993B,FFFFFF,
IDFM:C02049,IDFM:59,30-21Oues,30-21 Ouest,,3,,EF844E,FFFFFF,
IDFM:C02267,IDFM:1069,T'bus 3,T'bus 3,,3,,0064B0,FFFFFF,
IDFM:C00921,IDFM:1056,31S,31S,,3,,674EA7,FFFFFF,
IDFM:C00703,IDFM:1061,6136,6136,,3,,FF5A00,000000,
IDFM:C00836,IDFM:78,50,50,,3,,3BB2FF,000000,
IDFM:C00969,IDFM:1059,68.14,68.14,,3,,BE418E,FFFFFF,
IDFM:C01372,IDFM:Operator_100,2,2,,1,,0055C8,FFFFFF,
IDFM:C01154,IDFM:Operator_100,125,125,,3,,0055C8,FFFFFF,
IDFM:C01949,IDFM:1052,A,A,,3,,EB2132,FFFFFF,
IDFM:C00174,IDFM:1081,19,19,,3,,EF8360,FFFFFF,
IDFM:C01287,IDFM:Operator_100,323,323,,3,,D2D200,000000,
IDFM:C00392,IDFM:1080,305,305,,3,,660000,FFFFFF,
IDFM:C01816,IDFM:1071,R114,R114,,3,,FECE00,000000,
IDFM:C02133,IDFM:6,9,9,,3,,19B200,FFFFFF,
IDFM:C02000,IDFM:Operator_100,259,259,,3,,3C91DC,FFFFFF,
IDFM:C02351,IDFM:1065,51,51,,3,,FF9900,000000,
IDFM:C00837,IDFM:78,51,51,,3,,9B9BCD,000000,
IDFM:C00089,IDFM:1076,4,4,,3,,63C2EF,000000,
IDFM:C02266,IDFM:1069,T'bus 2,T'bus 2,,3,,FECE00,000000,
IDFM:C00619,IDFM:64,07,07,,3,,8AD3DE,000000,
IDFM:C02399,IDFM:1076,DM9S,DM9S,,3,,D282BE,000000,
IDFM:C00922,IDFM:1056,32,32,,3,,35B660,FFFFFF,
IDFM:C00704,IDFM:1077,6213,6213,,3,,640082,FFFFFF,
IDFM:C01151,IDFM:Operator_100,122,122,,3,,D282BE,000000,
IDFM:C01199,IDFM:Operator_100,178,178,,3,,0055C8,FFFFFF,
IDFM:C00171,IDFM:1081,11,11,,3,,3BB2FF,FFFFFF,
IDFM:C01815,IDFM:1071,32 ZA,32 ZA,,3,,E3B229,000000,
IDFM:C02265,IDFM:1069,T'bus 1,T'bus 1,,3,,E3051B,FFFFFF,
IDFM:C02132,IDFM:6,9s,9s,,3,,19B200,FFFFFF,
IDFM:C00086,IDFM:1076,1,1,,3,,E5122E,000000,
IDFM:C00749,IDFM:1052,82,82,,3,,FFCC30,000000,
IDFM:C00967,IDFM:1059,68-09,68-09,,3,,F3A4BA,000000,
IDFM:C02398,IDFM:1076,DM5S,DM5S,,3,,99D4DF,000000,
IDFM:C00701,IDFM:1077,6210,6210,,3,,FFBE00,000000,
IDFM:C00834,IDFM:1075,4,4,,3,,EE8260,000000,
IDFM:C00616,IDFM:1071,36,36,,3,,C04191,FFFFFF,
IDFM:C00920,IDFM:1056,31,31,,3,,351C75,FFFFFF,
IDFM:C01370,IDFM:1064,HIRO,L'Hirondelle,,3,,79BB92,000000,
IDFM:C01152,IDFM:Operator_100,123,123,,3,,00643C,FFFFFF,
IDFM:C01285,IDFM:Operator_100,321,321,,3,,FFBE00,000000,
IDFM:C00172,IDFM:1081,15,15,,3,,97BF0D,FFFFFF,
IDFM:C00390,IDFM:1080,304,304,,3,,CC0000,000000,
IDFM:C01947,IDFM:1074,8,8,,3,,0000FF,FFFFFF,
IDFM:C02264,IDFM:1054,20,20,,3,,8CAD08,FFFFFF,
IDFM:C02397,IDFM:1076,DM50,DM50,,3,,82DC73,000000,
IDFM:C02131,IDFM:6,6,6,,3,,AF171A,FFFFFF,
IDFM:C02482,IDFM:1077,6288,6288,,3,,D282BE,000000,
IDFM:C00087,IDFM:1076,2,2,,3,,F5E312,000000,
IDFM:C00617,IDFM:1071,37,37,,3,,09A88E,FFFFFF,
IDFM:C02179,IDFM:Operator_503,Aérobus,Aérobus,,3,,0000CC,FFFFFF,
IDFM:C00702,IDFM:1061,6135,6135,,3,,82C8E6,000000,
IDFM:C00835,IDFM:1075,5,5,,3,,004C93,000000,
IDFM:C00177,IDFM:1081,24,24,,3,,FCF26C,000000,
IDFM:C01242,IDFM:Operator_100,250,250,,3,,A0006E,FFFFFF,
IDFM:C01375,IDFM:Operator_100,5,5,,1,,FF7E2E,000000,
IDFM:C00395,IDFM:1048,95-08,95-08,,3,,00A6FF,000000,
IDFM:C00262,IDFM:1055,777,777,,3,,00814F,FFFFFF,
IDFM:C00480,IDFM:Operator_030,CitéVal N,CitéVal Nord Herblay,,3,,F08B27,FFFFFF,
IDFM:C01157,IDFM:Operator_100,128,128,,3,,6E5B1E,FFFFFF,
IDFM:C02441,IDFM:1051,23,23,,3,,F59EB3,000000,
IDFM:C01594,IDFM:1069,642,642,,3,,0064B0,FFFFFF,
IDFM:C00925,IDFM:1056,34S1,34S1,,3,,CC7F3C,000000,
IDFM:C02005,IDFM:113,30-03,30-03,,3,,E3004F,FFFFFF,
IDFM:C00707,IDFM:1061,6173,6173,,3,,FF82B4,000000,
IDFM:C02138,IDFM:6,4s,4s,,3,,DC9015,000000,
IDFM:C00178,IDFM:1081,25,25,,3,,A05599,FFFFFF,
IDFM:C01110,IDFM:Operator_100,75,75,,3,,FFBE00,000000,
IDFM:C01461,IDFM:1078,3250,3250,,3,,8AD3DE,000000,
IDFM:C01243,IDFM:Operator_100,251,251,,3,,FF1400,FFFFFF,
IDFM:C00130,IDFM:1051,62,62,,3,,B80C4B,FFFFFF,
IDFM:C01376,IDFM:Operator_100,6,6,,1,,6ECA97,000000,
IDFM:C01158,IDFM:Operator_100,129,129,,3,,6E6E00,FFFFFF,
IDFM:C00481,IDFM:Operator_030,CitéVal S,CitéVal Sud Herblay,,3,,00538D,FFFFFF,
IDFM:C02440,IDFM:885,P,P,,3,,2DA445,FFFFFF,
IDFM:C02137,IDFM:6,4,4,,3,,DC9015,000000,
IDFM:C00926,IDFM:1056,35,35,,3,,F8B63A,000000,
IDFM:C02222,IDFM:1051,63,63,,3,,F78F4B,000000,
IDFM:C00708,IDFM:1061,6174,6174,,3,,D282BE,000000,
IDFM:C02355,IDFM:1060,18,18,,3,,CFC83B,000000,
IDFM:C01240,IDFM:Operator_100,244,244,,3,,A0006E,FFFFFF,
IDFM:C01373,IDFM:Operator_100,3,3,,1,,6E6E00,FFFFFF,
IDFM:C00175,IDFM:1081,20,20,,3,,9F4690,FFFFFF,
IDFM:C01288,IDFM:Operator_100,325,325,,3,,82C8E6,000000,
IDFM:C01819,IDFM:Operator_100,208S,208S,,3,,A0006E,FFFFFF,
IDFM:C01155,IDFM:Operator_100,126,126,,3,,82C8E6,000000,
IDFM:C01904,IDFM:885,L,L,,3,,A74FFF,FFFFFF,
IDFM:C00260,IDFM:1072,716,716,,3,,5191CE,FFFFFF,
IDFM:C00393,IDFM:1048,95-05,95-05,,3,,0000FF,FFFFFF,
IDFM:C02221,IDFM:1058,4309,4309,,3,,B2111D,FFFFFF,
IDFM:C00042,IDFM:1061,6133,6133,,3,,82DC73,000000,
IDFM:C00705,IDFM:1061,6171,6171,,3,,00643C,FFFFFF,
IDFM:C02136,IDFM:6,7,7,,3,,97BF35,000000,
IDFM:C00838,IDFM:78,55,55,,3,,3BB2FF,000000,
IDFM:C02269,IDFM:1062,A14,Express A14 Chambourcy,,3,,3BB2FF,000000,
IDFM:C00923,IDFM:1056,33,33,,3,,BF6CAC,FFFFFF,
IDFM:C00176,IDFM:1059,22,22,,3,,00814F,FFFFFF,
IDFM:C01241,IDFM:Operator_100,249,249,,3,,D2D200,000000,
IDFM:C01374,IDFM:Operator_100,4,4,,1,,A0006E,FFFFFF,
IDFM:C01156,IDFM:Operator_100,127,127,,3,,FF5A00,000000,
IDFM:C01818,IDFM:Operator_100,208B,208B,,3,,A0006E,FFFFFF,
IDFM:C00394,IDFM:1048,95-07,95-07,,3,,BFFF00,000000,
IDFM:C00261,IDFM:1071,VITAVIL,Vitavil,,3,,F28F42,000000,
IDFM:C01289,IDFM:Operator_100,330,330,,3,,FFBE00,000000,
IDFM:C01903,IDFM:885,H,H,,3,,253B82,FFFFFF,
IDFM:C02571,IDFM:1051,14,14,,3,,78C696,000000,
IDFM:C00043,IDFM:1061,6124,6124,,3,,0055C8,FFFFFF,
IDFM:C02268,IDFM:Operator_100,BUSM6,Bus de substitution du métro 6,,3,,6ECA97,000000,
IDFM:C00706,IDFM:1061,6172,6172,,3,,6E491E,FFFFFF,
IDFM:C02135,IDFM:6,7s,7s,,3,,97BF35,000000,
