trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,local_zone_id,stop_headsign,timepoint
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:09:00,21:09:00,IDFM:463149,0,0,1,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:10:00,21:10:00,IDFM:463130,1,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:11:00,21:11:00,IDFM:463040,2,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:13:00,21:13:00,IDFM:463012,3,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:14:00,21:14:00,IDFM:462943,4,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:16:00,21:16:00,IDFM:463294,5,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:18:00,21:18:00,IDFM:463197,6,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:20:00,21:20:00,IDFM:22089,7,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:22:00,21:22:00,IDFM:463307,8,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:23:00,21:23:00,IDFM:22091,9,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:24:00,21:24:00,IDFM:463160,10,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:25:00,21:25:00,IDFM:463218,11,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:26:00,21:26:00,IDFM:463227,12,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:27:00,21:27:00,IDFM:22075,13,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:29:00,21:29:00,IDFM:463150,14,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:30:00,21:30:00,IDFM:463010,15,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:31:00,21:31:00,IDFM:463181,16,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:33:00,21:33:00,IDFM:463185,17,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:34:00,21:34:00,IDFM:463013,18,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:35:00,21:35:00,IDFM:22088,19,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:37:00,21:37:00,IDFM:22078,20,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:38:00,21:38:00,IDFM:463217,21,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:40:00,21:40:00,IDFM:22099,22,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:41:00,21:41:00,IDFM:22102,23,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078871_435,21:44:00,21:44:00,IDFM:463193,24,1,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:47:00,21:47:00,IDFM:22101,0,0,1,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:48:00,21:48:00,IDFM:463170,1,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:50:00,21:50:00,IDFM:463044,2,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:51:00,21:51:00,IDFM:22100,3,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:53:00,21:53:00,IDFM:463257,4,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:54:00,21:54:00,IDFM:463121,5,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:56:00,21:56:00,IDFM:22086,6,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:57:00,21:57:00,IDFM:22084,7,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,21:58:00,21:58:00,IDFM:22082,8,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:00:00,22:00:00,IDFM:22090,9,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:01:00,22:01:00,IDFM:22085,10,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:02:00,22:02:00,IDFM:463041,11,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:04:00,22:04:00,IDFM:22079,12,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:05:00,22:05:00,IDFM:22081,13,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:06:00,22:06:00,IDFM:22087,14,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:07:00,22:07:00,IDFM:463080,15,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:09:00,22:09:00,IDFM:22074,16,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:11:00,22:11:00,IDFM:463019,17,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:13:00,22:13:00,IDFM:22083,18,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:15:00,22:15:00,IDFM:22076,19,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:17:00,22:17:00,IDFM:22080,20,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:18:00,22:18:00,IDFM:22077,21,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:20:00,22:20:00,IDFM:22103,22,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:22:00,22:22:00,IDFM:22105,23,0,0,,,1
IDFM:RATP:146197-C01371-COU_RATP_5083934_1078872_445,22:24:00,22:24:00,IDFM:22104,24,1,0,,,1
IDFM:RATP:146150-C01372-COU_RATP_5083994_3120396_117,14:29:00,14:29:00,IDFM:22111,0,0,1,,,1
